date,city,house_price,attached_price,earnings_state,cpi,house_price_real,attached_price_real,earnings_state_real,annual_earnings_real,annual_earnings_nominal,pti_house_real,pti_attached_real,pti_house_nominal,pti_attached_nominal
2017-06-01,melbourne,720000.0,568900.0,1553.0,77.45,932980.0,737180.0,2012.38,104643.76000000001,80756.0,8.915772904184635,7.044662768233863,8.915746198424884,7.0446777948387735
2017-09-01,melbourne,692000.0,540000.0,1560.0,77.79,892780.0,696680.0,2012.62,104656.23999999999,81120.0,8.530595022332161,6.6568414840816,8.530571992110454,6.65680473372781
2017-12-01,melbourne,750000.0,568000.0,1566.0,78.33,960930.0,727750.0,2006.43,104334.36,81432.0,9.21010106354225,6.975170979148192,9.210138520483348,6.975144906179389
2018-03-01,melbourne,731000.0,565000.0,1576.0,79.05,928060.0,717310.0,2000.85,104044.2,81952.0,8.919862904419467,6.894281468837283,8.919855525185474,6.894279578289731
2018-06-01,melbourne,750000.0,600000.0,1586.0,79.34,948700.0,758960.0,2006.19,104321.88,82472.0,9.093969548861658,7.275175639089326,9.093995537879522,7.275196430303618
2018-09-01,melbourne,720000.0,568000.0,1597.0,79.53,908580.0,716770.0,2015.28,104794.56,83044.0,8.67010653988146,6.839763438102131,8.670102596214056,6.839747603679977
2018-12-01,melbourne,735000.0,565000.0,1608.0,79.95,922630.0,709240.0,2018.5,104962.0,83616.0,8.790133572149921,6.757112097711553,8.790183696900115,6.757079984691925
2019-03-01,melbourne,685000.0,555000.0,1628.0,80.02,859120.0,696070.0,2041.82,106174.64,84656.0,8.091574409859078,6.5558969637193965,8.091570591570592,6.555944055944056
2019-06-01,melbourne,700000.0,560000.0,1648.0,80.38,874000.0,699200.0,2057.64,106997.28,85696.0,8.168431945185896,6.534745556148717,8.168409260642271,6.534727408513816
2019-09-01,melbourne,705000.0,570000.0,1669.0,80.85,875120.0,707550.0,2071.75,107731.0,86788.0,8.123195737531445,6.567747445025109,8.123242844632898,6.567728257362769
2019-12-01,melbourne,760000.0,600000.0,1690.0,81.56,935180.0,738300.0,2079.55,108136.6,87880.0,8.648135783814176,6.827475618800665,8.64815657715066,6.827492034592626
2020-03-01,melbourne,730000.0,593000.0,1722.0,82.15,891820.0,724450.0,2103.71,109392.92,89544.0,8.152447160200131,6.622457833651392,8.152416689002054,6.622442598052354
2020-06-01,melbourne,720000.0,600000.0,1754.0,80.69,895520.0,746260.0,2181.58,113442.16,91208.0,7.894066897174736,6.5783303138797775,7.8940443820717485,6.578370318393123
2020-09-01,melbourne,710000.0,595000.0,1758.0,81.42,875160.0,733410.0,2166.95,112681.4,91416.0,7.766676665359146,6.508705074661835,7.7666929202765385,6.508707447274
2020-12-01,melbourne,760000.0,620000.0,1762.0,82.6,923410.0,753310.0,2140.85,111324.2,91624.0,8.294782266569174,6.766812606782712,8.294769929276173,6.766785994935825
2021-03-01,melbourne,800000.0,630000.0,1781.0,82.85,969080.0,763150.0,2157.41,112185.31999999999,92612.0,8.638206852732605,6.802583439615808,8.63818943549432,6.802574180451777
2021-06-01,melbourne,830000.0,648200.0,1800.0,83.07,1002750.0,783110.0,2174.65,113081.8,93600.0,8.86747469530906,6.925163907896761,8.867521367521368,6.9252136752136755
2021-09-01,melbourne,840000.0,650800.0,1804.0,83.75,1006600.0,779870.0,2161.78,112412.56000000001,93808.0,8.954515402905155,6.9375699654914,8.95446017397237,6.93757462050145
2021-12-01,melbourne,940000.0,655000.0,1808.0,84.7,1113790.0,776100.0,2142.28,111398.56000000001,94016.0,9.998244142473654,6.966876412046977,9.998298162014976,6.966899251191286
2022-03-01,melbourne,888000.0,640000.0,1805.0,86.64,1028619.9999999999,741350.0,2090.83,108723.16,93860.0,9.460909708658209,6.818694379376022,9.460899211591732,6.818666098444492
2022-06-01,melbourne,900000.0,640000.0,1801.0,88.16,1024550.0,728570.0,2050.23,106611.96,93652.0,9.61008502235584,6.833848660131564,9.610045701106223,6.833810276342203
2022-09-01,melbourne,850000.0,618000.0,1820.0,89.99,947950.0,689220.0,2029.73,105545.96,94640.0,8.981395403481098,6.5300462471514775,8.981403212172443,6.530008453085376
2022-12-01,melbourne,875000.0,615000.0,1838.0,91.41,960670.0,675210.0,2017.96,104933.92,95576.0,9.15499964167926,6.434620950022643,9.155017996149661,6.434669791579476
2023-03-01,melbourne,835000.0,605000.0,1859.0,92.55,905460.0,656050.0,2015.88,104825.76000000001,96668.0,8.637762321017275,6.258480739848678,8.637811892249761,6.258534365043241
2023-06-01,melbourne,840300.0,620000.0,1880.0,93.14,905440.0,668060.0,2025.73,105337.96,97760.0,8.595571814756997,6.34206320304665,8.595540098199672,6.342062193126023
2023-09-01,melbourne,832000.0,625000.0,1894.0,94.35,885000.0,664810.0,2014.65,104761.8,98488.0,8.447735720462992,6.345919982283618,8.447729672650475,6.3459507757290226
2023-12-01,melbourne,865000.0,632500.0,1908.0,94.94,914380.0,668610.0,2016.93,104880.36,99216.0,8.718314849415085,6.374978117924081,8.718351878729237,6.3749798419609744
2024-03-01,melbourne,845000.0,629000.0,1921.0,95.89,884390.0,658320.0,2010.55,104548.59999999999,99892.0,8.459128099276318,6.296784461963145,8.459135866736075,6.296800544588155
2024-06-01,melbourne,845000.0,630000.0,1933.0,96.51,878710.0,655130.0,2010.11,104525.72,100516.0,8.406639054961783,6.2676439827441515,8.406621831350233,6.26765888017828
2024-09-01,melbourne,825000.0,618000.0,1956.0,97.15,852260.0,638420.0,2020.63,105072.76000000001,101712.0,8.111141270106543,6.075980111305727,8.11113732892874,6.075979235488438
2024-12-01,melbourne,850000.0,625000.0,1979.0,97.29,876820.0,644720.0,2041.45,106155.40000000001,102908.0,8.259777646732996,6.073360375449576,8.259804874256618,6.073385936953395
2025-03-01,melbourne,840000.0,625000.0,1996.0,98.11,859260.0,639330.0,2041.78,106172.56,103792.0,8.09305153798684,6.021612363872549,8.093109295514106,6.021658702019423
2025-06-01,melbourne,845000.0,625000.0,2013.0,98.48,861130.0,636930.0,2051.43,106674.35999999999,104676.0,8.072511520106614,5.97078810690779,8.072528564331844,5.97080515113302
2025-09-01,melbourne,846800.0,630000.0,2038.0,99.66,852750.0,634430.0,2052.31,106720.12,105976.0,7.9905269971585495,5.94480216101706,7.990488412470748,5.9447422057824415
2025-12-01,melbourne,875000.0,660000.0,2063.0,100.36,875000.0,660000.0,2063.0,107276.0,107276.0,8.156530817703867,6.152354673925203,8.156530817703867,6.152354673925203
2010-06-01,brisbane,465000.0,392500.0,1272.0,65.36,714150.0,602800.0,1953.54,101584.08,66144.0,7.030137005719793,5.934000681996627,7.03011611030479,5.9340227382680215
2010-09-01,brisbane,460000.0,383800.0,1293.0,66.02,699410.0,583550.0,1965.94,102228.88,67236.0,6.8416087508735295,5.708269522271984,6.84157296686299,5.708251531917425
2010-12-01,brisbane,460000.0,385000.0,1315.0,66.35,695930.0,582460.0,1989.45,103451.40000000001,68380.0,6.727120174304069,5.630276632312371,6.727113190991518,5.630301257677684
2011-03-01,brisbane,450000.0,379000.0,1321.0,67.2,672190.0,566130.0,1973.24,102608.48,68692.0,6.551018005529368,5.5173802399177925,6.550981191405112,5.517381936761195
2011-06-01,brisbane,442000.0,382500.0,1327.0,67.85,653910.0,565890.0,1963.22,102087.44,69004.0,6.405391299850403,5.543189250313261,6.40542577241899,5.543156918439511
2011-09-01,brisbane,433000.0,370000.0,1338.0,68.07,638530.0,545620.0,1973.09,102600.68,69576.0,6.223448031728445,5.317898477865839,6.2234103713924345,5.3179257215131654
2011-12-01,brisbane,430000.0,380000.0,1349.0,67.96,635130.0,561280.0,1992.53,103611.56,70148.0,6.1299144612821195,5.417156155162609,6.129896789644751,5.417118093174431
2012-03-01,brisbane,430000.0,376000.0,1362.0,68.07,634100.0,554470.0,2008.48,104440.96,70824.0,6.071372764095619,5.30893243417142,6.071388229978538,5.308934824353327
2012-06-01,brisbane,435000.0,381000.0,1374.0,68.46,637820.0,558640.0,2014.64,104761.28,71448.0,6.088318126697192,5.3325045283906425,6.08834397044004,5.332549546523346
2012-09-01,brisbane,435000.0,387500.0,1395.0,69.25,630550.0,561690.0,2022.1,105149.2,72540.0,5.996717045873863,5.341838073898803,5.996691480562449,5.3418803418803416
2012-12-01,brisbane,440000.0,385000.0,1416.0,69.45,635960.0,556460.0,2046.62,106424.23999999999,73632.0,5.975706286462558,5.228696018876903,5.975662755323772,5.2287049109083
2013-03-01,brisbane,440000.0,392000.0,1443.0,69.49,635590.0,566250.0,2084.45,108391.4,75036.0,5.863841596289005,5.2241229470234725,5.863852017698171,5.224159070312917
2013-06-01,brisbane,445000.0,395000.0,1470.0,69.84,639590.0,567730.0,2112.81,109866.12,76440.0,5.821539888730029,5.16747110028096,5.8215593929879645,5.1674515960230245
2013-09-01,brisbane,449000.0,395000.0,1469.0,70.7,637490.0,560820.0,2085.69,108455.88,76388.0,5.877874025825063,5.170950620657911,5.877886579043829,5.1709692621877785
2013-12-01,brisbane,465000.0,400000.0,1468.0,71.26,655020.0,563460.0,2067.89,107530.28,76336.0,6.091493484439918,5.2400123946482795,6.091490253615595,5.239991616013414
2014-03-01,brisbane,448000.0,405000.0,1478.0,71.69,627290.0,567080.0,2069.49,107613.47999999998,76856.0,5.829102450733868,5.269600053822255,5.829082960341418,5.269595086915791
2014-06-01,brisbane,459000.0,414000.0,1488.0,72.1,639030.0,576380.0,2071.64,107725.28,77376.0,5.932033780743016,5.350461841454485,5.932071960297767,5.350496277915632
2014-09-01,brisbane,451000.0,420000.0,1498.0,72.57,623830.0,580950.0,2072.06,107747.12,77896.0,5.789760320275846,5.391791446490635,5.789770976686865,5.391804457225018
2014-12-01,brisbane,467000.0,420000.0,1509.0,72.74,644450.0,579590.0,2082.4,108284.8,78468.0,5.951435473861521,5.352459440290788,5.951470663200285,5.352500382321456
